"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Mar 21","1.733,50","1.737,55","1.757,20","1.704,75","-","0,27%"
"Fev 21","1.728,80","1.858,15","1.874,80","1.714,90","362,55K","-6,57%"
"Jan 21","1.850,30","1.912,50","1.966,80","1.804,70","1,59M","-2,60%"
"Dez 20","1.899,60","1.784,10","1.915,40","1.783,30","96,21K","6,43%"
"Nov 20","1.784,80","1.891,30","1.978,20","1.771,30","131,26K","-5,69%"
"Out 20","1.892,40","1.911,60","1.952,20","1.872,90","48,67K","-0,81%"
"Set 20","1.907,80","2.001,00","2.010,80","1.862,40","21,45K","-4,20%"
"Ago 20","1.991,40","2.019,60","2.107,60","1.891,20","43,45K","-0,66%"
"Jul 20","2.004,60","1.829,30","2.022,40","1.798,80","20,17K","9,51%"
"Jun 20","1.830,50","1.775,50","1.830,50","1.704,60","10,85K","3,32%"
"Mai 20","1.771,70","1.730,00","1.794,00","1.713,00","8,83K","3,75%"
"Abr 20","1.707,70","1.594,40","1.789,80","1.594,40","2,25K","6,76%"
"Mar 20","1.599,60","1.602,50","1.710,10","1.467,00","2,77K","0,62%"
"Fev 20","1.589,70","1.606,00","1.707,40","1.595,20","2,60K","-1,75%"
"Jan 20","1.618,00","1.591,00","1.638,40","1.587,80","0,83K","3,75%"
"Dez 19","1.559,50","1.515,90","1.544,20","1.497,20","0,02K","3,69%"
"Nov 19","1.504,00","1.522,80","1.522,80","1.510,00","0,00K","-3,02%"
"Out 19","1.550,90","1.519,40","1.538,80","1.516,50","0,01K","2,74%"
"Set 19","1.509,60","1.575,80","1.575,80","1.536,70","0,03K","-3,42%"
"Ago 19","1.563,10","1.450,20","1.582,40","1.450,20","0,01K","6,10%"
"Jul 19","1.473,30","1.444,50","1.474,20","1.444,50","0,04K","1,40%"
"Jun 19","1.452,90","1.373,10","1.422,60","1.373,10","0,02K","7,03%"
"Mai 19","1.357,50","1.334,20","1.350,20","1.320,10","0,03K","1,28%"
"Abr 19","1.340,40","1.342,70","1.363,90","1.323,80","0,07K","-0,74%"
"Mar 19","1.350,40","1.350,00","1.368,20","1.342,20","0,19K","-1,81%"
"Fev 19","1.375,30","1.382,60","1.388,00","1.374,00","0,30K","-0,63%"
"Jan 19","1.384,00","1.351,80","1.377,60","1.351,80","0,28K","2,74%"
"Dez 18","1.347,10","1.313,90","1.343,00","1.309,50","0,03K","4,21%"
"Nov 18","1.292,70","1.289,70","1.289,70","1.289,70","0,15K","0,35%"
"Out 18","1.288,20","1.271,20","1.296,70","1.271,20","0,12K","1,54%"
"Set 18","1.268,70","1.266,10","1.271,90","1.260,00","0,10K","-0,70%"
"Ago 18","1.277,70","1.308,00","1.308,00","1.265,80","0,07K","-2,45%"
"Jul 18","1.309,80","1.327,00","1.327,00","1.301,90","0,12K","-2,52%"
