Data;12462 - Índice de Mercado Anbima dos títulos públicos federais indexados à taxa SELIC - IMA-S - Índice;12467 - Índice de Mercado Anbima dos títulos públicos federais atrelados ao IPCA com maturidade inferior a cinco anos - IMA-B 5 - Índice;12468 - Índice de Mercado Anbima dos títulos públicos federais atrelados ao IPCA com maturidade igual ou superior a cinco anos - IMA-B 5+ - Índice
30/04/2004;863,863587 ;889,937050 ;893,092656
03/05/2004;864,119799 ;890,099266 ;893,214228
04/05/2004;864,155113 ;889,756377 ;893,279337
05/05/2004;864,463726 ;890,361815 ;893,187806
06/05/2004;864,844372 ;890,553037 ;892,842008
07/05/2004;865,288558 ;890,964473 ;893,298849
10/05/2004;865,682281 ;891,379283 ;893,956191
11/05/2004;866,117597 ;891,772391 ;893,752540
12/05/2004;866,636679 ;892,013501 ;893,285355
13/05/2004;867,128074 ;891,949071 ;888,161646
14/05/2004;867,687459 ;891,214418 ;887,575982
17/05/2004;868,214868 ;891,401645 ;884,447735
18/05/2004;868,852491 ;891,823166 ;884,910611
19/05/2004;869,532308 ;892,441499 ;884,566455
20/05/2004;870,191728 ;892,828056 ;885,280968
21/05/2004;870,794883 ;893,024128 ;885,368993
24/05/2004;871,348588 ;893,441636 ;885,535077
25/05/2004;871,989994 ;893,829402 ;885,841251
26/05/2004;872,597873 ;893,769485 ;885,661297
27/05/2004;873,194682 ;894,398629 ;885,981055
28/05/2004;873,800567 ;895,340943 ;886,875606
31/05/2004;874,366797 ;896,093029 ;887,585703
01/06/2004;874,972520 ;896,555989 ;888,234379
02/06/2004;875,541576 ;897,212784 ;888,498311
03/06/2004;876,119352 ;898,168975 ;888,451381
04/06/2004;876,683561 ;898,717252 ;888,474526
07/06/2004;877,231587 ;899,505268 ;889,092958
08/06/2004;877,745068 ;900,327776 ;889,190614
09/06/2004;878,267807 ;901,123833 ;889,997657
11/06/2004;878,762276 ;901,183840 ;890,499984
14/06/2004;879,293740 ;901,703887 ;891,039647
15/06/2004;879,829594 ;902,371514 ;891,774970
16/06/2004;880,420675 ;902,967894 ;892,222288
17/06/2004;880,964439 ;904,200699 ;892,647416
18/06/2004;881,484355 ;904,923854 ;893,259012
21/06/2004;882,045541 ;905,554900 ;893,828685
22/06/2004;882,588770 ;906,319836 ;894,207387
23/06/2004;883,120628 ;906,854542 ;894,772856
24/06/2004;883,671693 ;907,944091 ;895,512786
25/06/2004;884,234921 ;908,458769 ;896,221227
28/06/2004;884,808022 ;909,797276 ;896,790832
29/06/2004;885,469325 ;910,592960 ;897,298328
30/06/2004;886,042205 ;911,856731 ;897,733901
01/07/2004;886,737712 ;912,584591 ;898,444271
02/07/2004;887,363077 ;913,627996 ;899,147653
05/07/2004;887,958563 ;914,390228 ;899,834798
06/07/2004;888,468039 ;915,363940 ;900,696502
07/07/2004;888,993184 ;916,303451 ;901,543381
08/07/2004;889,538400 ;917,109785 ;902,373847
09/07/2004;890,048431 ;917,787797 ;902,847000
12/07/2004;890,568245 ;918,342046 ;903,647561
13/07/2004;891,087214 ;918,790798 ;904,204481
14/07/2004;891,601570 ;919,247152 ;904,934347
15/07/2004;892,081925 ;919,780451 ;905,463375
16/07/2004;892,604301 ;920,687037 ;906,291935
19/07/2004;893,112989 ;921,459708 ;907,104732
20/07/2004;893,570072 ;921,807911 ;907,906033
21/07/2004;894,041553 ;922,174342 ;908,395796
22/07/2004;894,498168 ;922,777011 ;909,179458
23/07/2004;894,973614 ;923,460485 ;909,960927
26/07/2004;895,446259 ;924,504926 ;910,795208
27/07/2004;895,914694 ;924,949788 ;911,417495
28/07/2004;896,363030 ;925,457622 ;912,195608
29/07/2004;896,867797 ;925,897579 ;913,030323
30/07/2004;897,373925 ;926,458653 ;913,337732
02/08/2004;897,891203 ;927,241378 ;914,218327
03/08/2004;898,397099 ;927,700558 ;914,990852
04/08/2004;898,893708 ;928,000016 ;915,266235
05/08/2004;899,400474 ;928,502959 ;915,904872
06/08/2004;899,884246 ;928,810096 ;916,114492
09/08/2004;900,366400 ;929,183662 ;916,223912
10/08/2004;900,885133 ;929,841780 ;916,807540
11/08/2004;901,417699 ;929,574052 ;916,316061
12/08/2004;901,959129 ;930,113348 ;916,146169
13/08/2004;902,526663 ;930,491464 ;915,993371
16/08/2004;903,089927 ;931,064521 ;916,078040
17/08/2004;903,619143 ;931,469671 ;916,496158
18/08/2004;904,166607 ;931,855718 ;916,361880
19/08/2004;904,709318 ;932,214312 ;916,605956
20/08/2004;905,250305 ;932,738235 ;917,317454
23/08/2004;905,786987 ;933,436729 ;918,181350
24/08/2004;906,298415 ;934,055637 ;918,763487
25/08/2004;906,818549 ;934,497515 ;918,457963
26/08/2004;907,339850 ;935,121277 ;918,910591
27/08/2004;907,889253 ;935,686462 ;919,268591
30/08/2004;908,431406 ;936,249735 ;919,822966
31/08/2004;908,977560 ;936,838063 ;920,761416
01/09/2004;909,512082 ;937,397317 ;921,374749
02/09/2004;910,054174 ;937,926218 ;921,982304
03/09/2004;910,595282 ;938,490915 ;922,486114
06/09/2004;911,145786 ;939,023267 ;923,323360
08/09/2004;911,680518 ;939,588276 ;923,940313
09/09/2004;912,204377 ;940,174595 ;924,283410
10/09/2004;912,724017 ;941,488379 ;925,869690
13/09/2004;913,258644 ;942,119709 ;925,910262
14/09/2004;913,794842 ;942,758492 ;926,226175
15/09/2004;914,306680 ;943,375294 ;926,967461
16/09/2004;914,819154 ;943,874329 ;927,382298
17/09/2004;915,319542 ;944,380704 ;927,898490
20/09/2004;915,856864 ;945,005392 ;928,422446
21/09/2004;916,232083 ;945,600171 ;928,942212
22/09/2004;916,521347 ;946,206092 ;929,594203
23/09/2004;917,010236 ;946,575553 ;930,019689
24/09/2004;917,530477 ;947,124577 ;930,507504
27/09/2004;918,079522 ;947,667201 ;931,049426
28/09/2004;918,627025 ;948,218852 ;931,631476
29/09/2004;919,248387 ;948,764029 ;932,202991
30/09/2004;919,862987 ;949,270581 ;932,610116
01/10/2004;920,501510 ;949,863960 ;933,252272
04/10/2004;921,128108 ;950,416101 ;933,703140
05/10/2004;921,770660 ;950,943683 ;934,277902
06/10/2004;922,401607 ;951,539834 ;934,805416
07/10/2004;923,045755 ;952,078149 ;935,345561
08/10/2004;923,632153 ;952,610884 ;935,980165
11/10/2004;924,224052 ;951,613022 ;935,114936
13/10/2004;924,780056 ;951,696732 ;934,524022
14/10/2004;925,329820 ;952,203535 ;935,575500
15/10/2004;925,882515 ;952,882281 ;936,058590
18/10/2004;926,434024 ;953,319125 ;936,820339
19/10/2004;926,979108 ;953,941136 ;937,447913
20/10/2004;927,543688 ;954,621265 ;938,037837
21/10/2004;928,103589 ;955,167489 ;938,501472
22/10/2004;928,683539 ;955,716920 ;939,099487
25/10/2004;929,254344 ;956,164229 ;939,418570
26/10/2004;929,836679 ;956,689067 ;939,923863
27/10/2004;930,401952 ;957,201642 ;940,474034
28/10/2004;930,974891 ;957,734905 ;941,021250
29/10/2004;931,537599 ;958,277826 ;941,493566
01/11/2004;932,111123 ;958,806673 ;942,045715
03/11/2004;932,691217 ;959,354568 ;942,724010
04/11/2004;933,275688 ;959,870635 ;943,790892
05/11/2004;933,870270 ;960,390288 ;943,919967
08/11/2004;934,462876 ;960,887052 ;944,383479
09/11/2004;935,046944 ;961,412184 ;944,935907
10/11/2004;935,647080 ;961,934452 ;945,377579
11/11/2004;936,236226 ;962,526288 ;945,966638
12/11/2004;936,837075 ;962,857095 ;946,422853
16/11/2004;937,434926 ;963,410757 ;946,896761
17/11/2004;938,026334 ;964,099704 ;947,390254
18/11/2004;938,614460 ;964,663463 ;947,868661
19/11/2004;939,202577 ;965,343518 ;948,444200
22/11/2004;939,794517 ;965,243528 ;949,038953
23/11/2004;940,387992 ;965,736157 ;949,581991
24/11/2004;940,978230 ;966,455920 ;950,368091
25/11/2004;941,573922 ;967,216305 ;951,244485
26/11/2004;942,168259 ;967,836590 ;951,823164
29/11/2004;942,770797 ;968,486335 ;952,549035
30/11/2004;943,365468 ;969,149266 ;952,983247
01/12/2004;943,971012 ;969,075415 ;953,423743
02/12/2004;944,603447 ;970,059164 ;954,210993
03/12/2004;945,215795 ;970,755145 ;954,784196
06/12/2004;945,834734 ;971,342086 ;955,645547
07/12/2004;946,450917 ;972,152922 ;956,373352
08/12/2004;947,057395 ;972,631298 ;956,766102
09/12/2004;947,692570 ;973,417261 ;957,416289
10/12/2004;948,305129 ;974,107331 ;958,064410
13/12/2004;948,918817 ;974,762370 ;958,759951
14/12/2004;949,537904 ;975,431240 ;959,471098
15/12/2004;950,200849 ;976,099254 ;960,084133
16/12/2004;950,936925 ;976,603728 ;960,683772
17/12/2004;951,640048 ;977,110830 ;960,756893
20/12/2004;952,365143 ;977,756416 ;961,711325
21/12/2004;953,071844 ;978,286366 ;962,300945
22/12/2004;953,752460 ;979,074318 ;963,202054
23/12/2004;954,383203 ;979,753710 ;963,784194
24/12/2004;955,008302 ;980,398419 ;964,422555
27/12/2004;955,628088 ;980,914354 ;964,930957
28/12/2004;956,332906 ;981,629505 ;965,631602
29/12/2004;957,001688 ;982,063955 ;966,291139
30/12/2004;957,674660 ;982,690188 ;966,948321
31/12/2004;958,301994 ;983,337347 ;967,588797
03/01/2005;959,082877 ;984,068269 ;968,186926
04/01/2005;959,800139 ;984,423261 ;968,746744
05/01/2005;960,471410 ;985,023380 ;969,332709
06/01/2005;961,129765 ;985,216580 ;969,631316
07/01/2005;961,803088 ;985,258129 ;970,524665
10/01/2005;962,443983 ;985,675702 ;970,691161
11/01/2005;963,098128 ;986,255665 ;971,293797
12/01/2005;963,749145 ;986,760014 ;971,646576
13/01/2005;964,398618 ;987,493798 ;971,394055
14/01/2005;965,047861 ;989,169726 ;972,679535
17/01/2005;965,692432 ;989,904357 ;973,221109
18/01/2005;966,326532 ;990,576313 ;973,780641
19/01/2005;966,968372 ;991,254916 ;974,551288
20/01/2005;967,603489 ;991,844025 ;974,722796
21/01/2005;968,262529 ;992,598911 ;975,962353
24/01/2005;968,898397 ;993,254493 ;976,291104
25/01/2005;969,542312 ;994,046494 ;977,346090
26/01/2005;970,194014 ;994,717403 ;977,259034
27/01/2005;970,840130 ;995,143385 ;977,707072
28/01/2005;971,499721 ;995,790340 ;978,998007
31/01/2005;972,162007 ;995,946755 ;978,862645
01/02/2005;972,820398 ;996,706298 ;979,548484
02/02/2005;973,476402 ;993,464559 ;979,849256
03/02/2005;974,136715 ;994,524714 ;980,705956
04/02/2005;974,793045 ;994,291064 ;981,340767
09/02/2005;975,443676 ;994,960243 ;981,802488
10/02/2005;976,106133 ;995,527670 ;982,511350
11/02/2005;976,775620 ;992,640118 ;983,339984
