"Data","Último","Abertura","Máxima","Mínima","Var%"
"Mar 21","5,6697","5,5870","5,7723","5,5453","1,27%"
"Fev 21","5,5986","5,4663","5,6093","5,3042","2,49%"
"Jan 21","5,4625","5,1351","5,5166","5,1197","5,18%"
"Dez 20","5,1937","5,3158","5,3301","5,0100","-2,59%"
"Nov 20","5,3319","5,7430","5,7667","5,2235","-7,18%"
"Out 20","5,7446","5,6109","5,8084","5,4830","2,38%"
"Set 20","5,6112","5,4927","5,6786","5,2102","2,18%"
"Ago 20","5,4914","5,2223","5,6733","5,2115","5,12%"
"Jul 20","5,2240","5,4660","5,4763","5,0827","-4,43%"
"Jun 20","5,4661","5,3340","5,5082","4,8175","2,44%"
"Mai 20","5,3361","5,4861","5,9718","5,2691","-2,73%"
"Abr 20","5,4858","5,2252","5,7484","5,0487","5,40%"
"Mar 20","5,2046","4,4949","5,2550","4,4521","16,35%"
"Fev 20","4,4733","4,2816","4,5143","4,2086","4,47%"
"Jan 20","4,2820","4,0197","4,2905","4,0037","6,54%"
"Dez 19","4,0190","4,2362","4,2541","4,0083","-5,13%"
"Nov 19","4,2364","4,0173","4,2778","3,9692","5,45%"
"Out 19","4,0174","4,1564","4,1873","3,9637","-3,31%"
"Set 19","4,1551","4,1440","4,1948","4,0265","0,26%"
"Ago 19","4,1445","3,8154","4,1949","3,8107","8,71%"
"Jul 19","3,8125","3,8373","3,8812","3,7178","-1,02%"
"Jun 19","3,8518","3,9232","3,9344","3,8066","-1,78%"
"Mai 19","3,9218","3,9196","4,1221","3,9086","0,03%"
"Abr 19","3,9207","3,8897","4,0065","3,8147","-0,08%"
"Mar 19","3,9238","3,7510","4,0160","3,7381","4,60%"
"Fev 19","3,7511","3,6455","3,7956","3,6385","2,94%"
"Jan 19","3,6439","3,8793","3,8976","3,6363","-6,09%"
"Dez 18","3,8804","3,8669","3,9461","3,8149","0,37%"
"Nov 18","3,8662","3,7222","3,9448","3,6792","3,88%"
"Out 18","3,7218","4,0496","4,0637","3,5817","-8,05%"
"Set 18","4,0477","4,0921","4,2109","3,9669","-0,17%"
"Ago 18","4,0545","3,7566","4,2151","3,6902","7,96%"
"Jul 18","3,7557","3,8781","3,9533","3,6879","-3,12%"
"Jun 18","3,8765","3,7248","3,9678","3,6677","4,14%"
"Mai 18","3,7225","3,5075","3,7768","3,5072","6,16%"
"Abr 18","3,5066","3,3045","3,5159","3,2954","6,11%"
"Mar 18","3,3046","3,2462","3,3466","3,2057","1,81%"
"Fev 18","3,2458","3,1853","3,3189","3,1617","1,88%"
"Jan 18","3,1858","3,3135","3,3135","3,1198","-3,81%"
"Dez 17","3,3121","3,2727","3,3482","3,2199","1,21%"
"Nov 17","3,2726","3,2727","3,3354","3,2005","0,01%"
