"Data","Último","Abertura","Máxima","Mínima","Var%"
"Mar 21","5,6841","5,5829","5,6841","5,5829","2,79%"
"Fev 21","5,5299","5,4605","5,5299","5,3420","0,99%"
"Jan 21","5,4756","5,1964","5,5082","5,1623","5,37%"
"Dez 20","5,1964","5,2786","5,2786","5,0575","-2,53%"
"Nov 20","5,3314","5,7715","5,7715","5,2818","-7,63%"
"Out 20","5,7715","5,6404","5,7800","5,5202","2,32%"
"Set 20","5,6404","5,4710","5,6525","5,2529","3,10%"
"Ago 20","5,4710","5,3072","5,6507","5,2757","5,15%"
"Jul 20","5,2030","5,4757","5,4757","5,1108","-4,98%"
"Jun 20","5,4757","5,3636","5,4757","4,8891","0,92%"
"Mai 20","5,4260","5,5813","5,9369","5,2989","-0,01%"
"Abr 20","5,4267","5,2401","5,6507","5,0776","4,39%"
"Mar 20","5,1984","4,4943","5,1984","4,4880","15,56%"
"Fev 20","4,4984","4,2472","4,4984","4,2378","5,37%"
"Jan 20","4,2692","4,0210","4,2692","4,0210","5,92%"
"Dez 19","4,0304","4,2258","4,2258","4,0304","-4,58%"
"Nov 19","4,2237","3,9783","4,2599","3,9783","5,49%"
"Out 19","4,0038","4,1737","4,1737","3,9790","-3,85%"
"Set 19","4,1641","4,1578","4,1824","4,0491","0,63%"
"Ago 19","4,1382","3,7643","4,1677","3,7643","9,92%"
"Jul 19","3,7646","3,7646","3,7646","3,7646","-1,76%"
"Jun 19","3,8319","3,8319","3,8319","3,8319","-2,75%"
"Mai 19","3,9404","3,9404","3,9404","3,9404","-0,12%"
"Abr 19","3,9450","3,9450","3,9450","3,9450","1,25%"
"Mar 19","3,8964","3,8964","3,8964","3,8964","4,23%"
"Fev 19","3,7382","3,7382","3,7382","3,7382","2,37%"
"Jan 19","3,6516","3,6516","3,6516","3,6516","-5,75%"
"Dez 18","3,8745","3,8745","3,8745","3,8745","0,30%"
"Nov 18","3,8630","3,8630","3,8630","3,8630","3,92%"
"Out 18","3,7174","3,7174","3,7174","3,7174","-7,15%"
"Set 18","4,0036","4,0036","4,0036","4,0036","-3,18%"
"Ago 18","4,1350","4,1350","4,1350","4,1350","10,13%"
"Jul 18","3,7546","3,7546","3,7546","3,7546","-2,62%"
"Jun 18","3,8555","3,8555","3,8555","3,8555","3,18%"
"Mai 18","3,7367","3,7367","3,7367","3,7367","7,35%"
"Abr 18","3,4808","3,4808","3,4808","3,4808","4,73%"
"Mar 18","3,3235","3,3235","3,3235","3,3235","2,43%"
"Fev 18","3,2446","3,2446","3,2446","3,2446","2,61%"
"Jan 18","3,1621","3,1621","3,1621","3,1621","-4,40%"
"Dez 17","3,3077","3,3077","3,3077","3,3077","1,42%"
"Nov 17","3,2613","3,2613","3,2613","3,2613","-0,47%"
"Out 17","3,2766","3,2766","3,2766","3,2766","3,44%"
"Set 17","3,1677","3,1677","3,1677","3,1677","0,66%"
"Ago 17","3,1468","3,1468","3,1468","3,1468","0,52%"
"Jul 17","3,1304","3,1304","3,1304","3,1304","-5,37%"
"Jun 17","3,3079","3,3079","3,3079","3,3079","1,99%"
"Mai 17","3,2434","3,2434","3,2434","3,2434","1,42%"
"Abr 17","3,1981","3,1981","3,1981","3,1981","0,95%"
"Mar 17","3,1681","3,1681","3,1681","3,1681","2,23%"
"Fev 17","3,0990","3,0990","3,0990","3,0990","-0,89%"
"Jan 17","3,1267","3,1267","3,1267","3,1267","-4,05%"
"Dez 16","3,2588","3,2588","3,2588","3,2588","-4,05%"
"Nov 16","3,3964","3,3964","3,3964","3,3964","6,78%"
"Out 16","3,1808","3,1808","3,1808","3,1808","-2,01%"
"Set 16","3,2459","3,2459","3,2459","3,2459","0,18%"
"Ago 16","3,2400","3,2400","3,2400","3,2400","0,04%"
"Jul 16","3,2387","3,2387","3,2387","3,2387","0,91%"
"Jun 16","3,2095","3,2095","3,2095","3,2095","-10,72%"
"Mai 16","3,5948","3,5948","3,5948","3,5948","4,18%"
"Abr 16","3,4505","3,4505","3,4505","3,4505","-3,04%"
"Mar 16","3,5586","3,5586","3,5586","3,5586","-10,57%"
"Fev 16","3,9793","3,9793","3,9793","3,9793","-1,56%"
"Jan 16","4,0425","4,0425","4,0425","4,0425","3,53%"
"Dez 15","3,9045","3,9045","3,9045","3,9045","1,41%"
"Nov 15","3,8502","3,8502","3,8502","3,8502","-0,22%"
"Out 15","3,8586","3,8586","3,8586","3,8586","-2,87%"
"Set 15","3,9726","3,9726","3,9726","3,9726","8,95%"
"Ago 15","3,6464","3,6464","3,6464","3,6464","7,45%"
"Jul 15","3,3937","3,3937","3,3937","3,3937","9,39%"
"Jun 15","3,1023","3,1023","3,1023","3,1023","-2,40%"
"Mai 15","3,1785","3,1785","3,1785","3,1785","6,19%"
"Abr 15","2,9933","2,9933","2,9933","2,9933","-6,68%"
"Mar 15","3,2077","3,2077","3,2077","3,2077","11,46%"
"Fev 15","2,8779","2,8779","2,8779","2,8779","8,11%"
"Jan 15","2,6620","2,6620","2,6620","2,6620","0,23%"
"Dez 14","2,6559","2,6559","2,6559","2,6559","3,75%"
"Nov 14","2,5598","2,5598","2,5598","2,5598","4,74%"
"Out 14","2,4439","2,4439","2,4439","2,4439","-0,28%"
"Set 14","2,4507","2,4507","2,4507","2,4507","9,44%"
"Ago 14","2,2393","2,2393","2,2393","2,2393","-1,23%"
"Jul 14","2,2671","2,2671","2,2671","2,2671","2,95%"
"Jun 14","2,2022","2,2022","2,2022","2,2022","-1,63%"
"Mai 14","2,2387","2,2387","2,2387","2,2387","0,13%"
"Abr 14","2,2357","2,2357","2,2357","2,2357","-1,19%"
"Mar 14","2,2627","2,2627","2,2627","2,2627","-3,02%"
"Fev 14","2,3331","2,3331","2,3331","2,3331","-3,83%"
"Jan 14","2,4260","2,4260","2,4260","2,4260","3,57%"
"Dez 13","2,3423","2,3423","2,3423","2,3423","0,76%"
"Nov 13","2,3246","2,3246","2,3246","2,3246","5,55%"
"Out 13","2,2023","2,2023","2,2023","2,2023","-1,23%"
"Set 13","2,2297","2,2297","2,2297","2,2297","-6,01%"
"Ago 13","2,3722","2,3722","2,3722","2,3722","3,59%"
"Jul 13","2,2900","2,2900","2,2900","2,2900","3,37%"
"Jun 13","2,2153","2,2153","2,2153","2,2153","3,92%"
"Mai 13","2,1317","2,1317","2,1317","2,1317","6,51%"
"Abr 13","2,0014","2,0014","2,0014","2,0014","-0,60%"
"Mar 13","2,0135","2,0135","2,0135","2,0135","1,94%"
"Fev 13","1,9751","1,9751","1,9751","1,9751","-0,65%"
"Jan 13","1,9880","1,9880","1,9880","1,9880","-2,70%"
